UF;Grupo Econômico;media_ano;market_share;hhi_empresa
AC;DATORA;1365,0;0,0016;0,0256
AC;OUTROS;0,75;0,0;0,0
AC;SURF TELECOM;3474,6099999999997;0,004;0,16
AC;TELECOM AMERICAS;433875,0;0,4982;2482,0323999999996
AC;TELECOM ITALIA;78440,8;0,0901;81,1801
AC;TELEFONICA;353789,24;0,4062;1649,9844
AL;AMERICA NET;4,0;0,0;0,0
AL;DATORA;10093,75;0,0034;0,1156
AL;OUTROS;178,26;0,0001;0,0001
AL;SURF TELECOM;4563,62;0,0015;0,0225
AL;TELECOM AMERICAS;967087,2;0,3226;1040,7076
AL;TELECOM ITALIA;978787,58;0,3265;1066,0225
AL;TELEFONICA;1037009,09;0,3459;1196,4680999999998
AM;AMERICA NET;6,0;0,0;0,0
AM;DATORA;1432,75;0,0004;0,0016
AM;OUTROS;1536,6299999999999;0,0004;0,0016
AM;SURF TELECOM;5901,2;0,0015;0,0225
AM;TELECOM AMERICAS;1695977,24;0,4233;1791,8289000000002
AM;TELECOM ITALIA;423119,36;0,1056;111,5136
AM;TELEFONICA;1878352,9100000001;0,4688;2197,7344
AP;AMERICA NET;32,239999999999995;0,0;0,0
AP;DATORA;56,5;0,0001;0,0001
AP;OUTROS;8,76;0,0;0,0
AP;SURF TELECOM;2614,3599999999997;0,0033;0,1089
AP;TELECOM AMERICAS;231055,36000000002;0,2939;863,7720999999999
AP;TELECOM ITALIA;207827,28;0,2643;698,5448999999999
AP;TELEFONICA;344591,41;0,4383;1921,0689000000002
BA;AMERICA NET;981,65;0,0001;0,0001
BA;DATORA;69590,01;0,0047;0,2209
BA;OUTROS;192241,96;0,0131;1,7161000000000002
BA;SURF TELECOM;45187,62;0,0031;0,09609999999999999
BA;TELECOM AMERICAS;5390566,44;0,3678;1352,7684000000002
BA;TELECOM ITALIA;3417950,6;0,2332;543,8224
BA;TELEFONICA;5540852,21;0,378;1428,8400000000001
CE;AMERICA NET;6,38;0,0;0,0
